00:00:00.100	+	This orb will build me infinite worlds to rule!
00:00:05.338	-
00:00:07.607	+	Once I deliver her safely, I can finally retire.
00:00:10.677	+	Time to pop some wood between us and your zero! I mean hero!
00:00:15.115	+	Oh, so clever. How old are you, nine?
00:00:17.417	-
00:00:18.251	+	Awwww come on! These trees are totally flocked!
00:00:22.389	+	Maybe you should consider branching out into a new career, Bob.
00:00:26.493	+	You think that's gonna stop him?
00:00:28.228	+	Yeah, I kinda do!
00:00:29.863	-
