00:00:00.867	+	Da oggi in poi un numero infinito di Regni sarà tutto mio!
00:00:07.807	+	Principessaaaaaaa!
00:00:11.845	-
00:00:14.247	+	Principessa, no! Non hai idea di cosa stai facendo!
00:00:16.583	-
00:00:18.651	+	Le altre Principesse saranno così invidiose.
00:00:21.187	-
00:00:22.589	+	Dammela Principessa, prima che qualcuno si faccia male!
00:00:25.091	-
00:00:39.000	+	Tu…dovevi proteggermi.
00:00:43.543	+	Tu, hai strappato il mio cuore in due, Principessa. Guarda come ti distruggo ora.  
00:00:47.013	-
00:00:49.883	+	Niente di meglio di una piccola testa per rendere più semplice il lavoro.
00:00:51.551	-
00:00:53.553	+	Finalmente!
00:00:54.754	+	Ahhhh, nooo!
00:00:56.500	-	
