00:00:03.837	+	Tu prends ton pied King Kobbler?
00:00:08.208	+	A vrai dire, oui. 
00:00:10.566	+	Qui aurait pu croire que tuer un héros serait aussi fun ?
00:00:14.014	-
00:00:14.514	+	Je ne suis pas t’encore mort !
00:00:17.250	+	Tu le serrais si tu avais un véritable cou à étrangler. 
00:00:19.333	+	Tu es difforme !
00:00:20.620	+	Difforme ? Tu le seras après ça ! 
00:00:24.257	-
00:00:26.000	+	T’es sérieux Bob, tu appelles ça un sauvetage ?
00:00:28.828	+	Mais qui t’as dit que j’étais là pour toi ?
00:00:31.197	+	Humm, tous les contes de fées le disent non ? 
00:00:33.767	+	Quelle charmante réunion.
00:00:36.202	-
00:00:38.672	+	Puis-je t’offrir quelques tartes ?
00:00:40.907	+	Noooooon !
00:00:45.345	-
00:00:49.683	+	Comment appelle-t-on un homme sans cou qui flotte au milieu de la mer? 
00:00:54.120	+	BOB!
00:00:56.322	-
00:01:00.727	+	J’ai déjà ferrer de plus gros poissons que toi !
00:01:02.662	-
