00:00:02.035	+	Что? Не уж то ты опять?
00:00:04.000	+	Давай её суда, Кобблер!
00:00:05.772	+	Я тебя разорву как прошлогодния газету!
00:00:08.108	-
00:00:10.909	+	Кобблер. ты бумажный тигр!
00:00:13.000	-
00:00:14.000	+	Держава моя! Моя!
00:00:17.000	+	А остальные принцессы упадут от зависти!
00:00:19.000	+	Чего?
00:00:20.000	+	Не Понял.
00:00:21.000	-
00:00:23.500	+	Боб – у тебя нет ни малейшего шанса в схватки с таким могучим военом как я!
00:00:29.229	+	Погоди, а где держава?
00:00:32.136	-
00:00:38.000	+	Все, мне это надоело.
