00:00:00.633	+	Donde esta Kobbler?
00:00:02.102	+	Por que me haces perder mi tiempo, Bob? 
00:00:04.166	+	Ella quebró tu corazón antes, lo hará de nuevo.
00:00:06.573	+	No estoy hablando de la princesa Kobbler, hablo de la orbe! 
00:00:11.011	+	Bravo Bob! Al fin estas usando la cabeza. 
00:00:14.300	+	Muy mal que la vayas a perder!
00:00:15.749	-
00:00:20.587	+	Esa es una horrible cortada de papel!
00:00:23.000	-
00:00:26.960	+	Parece que te has quemado Kobbler.
00:00:28.500	+	Es verdad, Bob? No viniste por mi? Viniste por… esto? 
00:00:33.600	+	Lo siento princesa.
00:00:35.301	+	No hay problema! Ahora matarte es mucho más fácil.
00:00:38.772	+	En serio!? No lo puedo creer!
00:00:41.274	+	Adiós Bob!
00:00:43.343	+	Aquí vamos de Nuevo!
00:00:45.000	-	
00:00:51.500	+	Mmmm, esto me parece familiar.
00:00:54.000	-	
