00:00:00.100	+	Diese Sphäre lässt mich unendlich viele Welten regieren! 
00:00:05.338	-
00:00:07.607	+	Sobald ich sie sicher abgeliefert habe, kann ich endlich in Ruhestand gehen. 
00:00:10.677	+	Zeit, ein wenig Wald zwischen uns und diesem Helden zu zaubern!
00:00:15.115	+	Du bist ja so clever. Wie alt bist du, neun?
00:00:17.417	-
00:00:18.251	+	Echt jetzt? Was für ein Schwachsinn! 
00:00:22.389	+	Vielleicht solltest du über einen neuen Karrierezweig nachdenken, Bob.  
00:00:26.493	+	Und das soll ihn aufhalten?
00:00:28.228	+	Ja, irgendwie schon! 
00:00:29.863	-
