00:00:03.837	+	コ、コブラー王、面白いか？
00:00:08.208	+	実に楽しいね。
00:00:10.566	+	落ちぶれたヒーローを殺すのがこれほど面白いとは。
00:00:14.014	-
00:00:14.514	+	オレはまだ死んでないぞ！
00:00:17.250	+	お前に首があったら、とっくに死んでいるはずだ。
00:00:19.333	+	まぁ、お前には頭しかないからな！
00:00:20.620	+	頭だけ？頭があれば、こうやってヘッドバッドが出来るんだよ！
00:00:24.257	-
00:00:26.000	+	ちょっとボブ、私を助けにきたつもり？
00:00:28.828	+	姫、あんたを助けに来たなんて言ってない。
00:00:31.197	+	ふつうの話って、だいたいはそういうシナリオでしょ？
00:00:33.767	+	まったく、感動的な再会だな。
00:00:36.202	-
00:00:38.672	+	再会の記念にパンチをプレゼントしようか？
00:00:40.907	+	うわぁぁぁぁ！
00:00:45.345	-
00:00:49.683	+	英語で釣りの浮きをなんていうか知っているか？
00:00:54.120	+	ボブっていうんだ！
00:00:56.322	-
00:01:00.727	+	このボブは、大物が釣れるんだよ！
00:01:02.662	-
